Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Puna Dam,22.188,69.9622,,Puna,Lalpur,Jamnagar,74.0,Earthen / Gravity & Masonry,1965.0,18.8,0.0,4,Vertisols,Cambisols,"Tapi, River",314.22,0.0001,1243.6,905.7,778.4,665.9,1320.5,982.82,21.62,87.0,78.0,60.0,54.5,60.5,39.5,17.0,19.5,86.5,108.5,85.0,85.0
Raidy Dam,20.983,71.313,Irrigation,Raidy,Rajula,Amreli,49.0,Gravity & Masonry,1540.0,14.4,0.9009,3,Unknown,Unknown,"Tapi, River",160.1703,0.0001,1003.8,1296.4,715.1,828.7,1203.1,1009.42,16.03,72.0,77.0,69.5,81.5,73.0,56.5,30.5,65.0,89.5,107.5,86.0,81.0
Rajada Dam,22.8333,69.3552,,Kharod,Mandvi,Kachchh,8.0,Earthen,1127.0,18.35,0.9009,5,Vertisols,Cambisols,"Indus, River",229.1742,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,64.0,60.0,54.0,51.5,62.0,48.5,41.5,70.5,43.5,94.5,70.0,77.0
Rajavadala Dam,22.0975,71.1655,,Bundanpuri,Jasdan,Rajkot,214.0,Earthen,650.0,11.0,0.0,3,Unknown,Unknown,"Tapi, River",196.306,0.0001,956.6,997.6,675.7,659.9,1467.2,951.4,16.31,56.5,65.0,73.5,75.5,89.5,79.5,80.0,100.5,35.5,104.5,89.0,89.0
Rajawal Dam,21.5188,71.91,Irrigation,Rajawal,Palitana,Bhavnagar,49.0,Earthen,3570.0,19.38,0.9009,3,Unknown,Unknown,"Tapi, River",99.9851,0.0001,956.6,1183.5,764.4,708.0,1441.9,1010.88,15.48,66.0,53.5,65.5,64.5,68.0,36.0,44.0,48.5,12.5,66.0,39.0,68.0
Rakhadi Dam,23.8155,68.7694,Irrigation,Rakhdi Nadi,Lakhpat,Kachchh,26.0,Earthen,2110.0,13.02,2.7027,5,Cambisols,Arenosols,"Indus, River",111.663,0.0,460.0,286.9,599.3,417.1,614.1,475.48,19.16,57.0,54.5,50.5,46.0,48.5,42.0,40.5,49.0,68.0,79.5,71.0,69.0
Ramdhani Dam,21.7197,71.9597,Irrigation,Phalka Nadi,Sihor,Bhavnagar,49.0,Earthen,275.0,18.0,2.7027,3,Vertisols,Cambisols,"Tapi, River",104.2875,0.0001,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,71.5,85.0,59.5,65.0,79.5,84.0,93.0,88.0,36.5,102.5,82.0,76.0
Rami Dam,22.0788,74.0044,Irrigation,Rami,Chhota Udepur,Vadodara,194.0,Earthen,485.0,26.52,9.9099,3,Vertisols,Leptosols,"Narmada, River",55.5395,0.0001,1018.0,1066.1,1085.7,891.6,1625.4,1137.36,13.8,117.0,117.0,89.5,102.5,101.0,74.5,83.0,34.5,122.0,7.0,124.0,93.0
Ranghola Dam,21.7647,71.6525,Irrigation,Rangholi,Umrala,Bhavnagar,60.0,Gravity & Masonry,1952.0,24.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",134.764,0.0001,1032.4,1032.3,812.0,622.8,1403.8,980.66,16.54,90.5,71.0,77.5,90.0,72.5,63.5,56.0,62.0,15.5,111.5,121.0,101.0
Rangmati Dam,22.3366,70.0505,Irrigation,Rangmati,Jamnagar,Jamnagar,42.0,Earthen / Gravity & Masonry,3820.0,15.0,1.8018,4,Vertisols,Cambisols,"Mahi, River",311.4835,0.0,1194.8,963.6,892.0,746.1,1401.7,1039.64,23.92,96.5,92.0,59.5,67.0,71.5,42.0,46.0,79.0,57.0,101.0,73.0,81.0
Raningpar Dam,22.2452,71.0936,Irrigation,T/Machhu,Jasdan,Rajkot,224.0,Earthen,1780.0,17.8,0.9009,3,Vertisols,Cambisols,"Mahi, River",205.2686,0.0,943.0,978.0,685.4,674.7,1409.7,938.16,16.9,99.5,95.5,77.5,68.0,79.0,67.5,103.5,70.5,67.0,116.5,112.0,109.0
Ranipat Dam,22.6897,71.2091,Irrigation,Balal,Muli,Surendranagar,120.0,Earthen,3197.0,29.5,2.7027,4,Vertisols,Luvisols,"Mahi, River",193.8484,0.0,1209.5,979.0,790.8,648.8,1201.8,965.98,21.22,83.0,82.5,71.5,73.0,78.5,69.5,76.0,88.0,25.5,96.5,72.0,77.0
Raniporda Dam,22.8616,73.175,Irrigation,Vehla,Thasra,Kheda,65.0,Earthen,1640.0,11.0,0.0,3,Vertisols,Cambisols,"Mahi, River",47.5876,0.0,997.8,1070.1,1005.9,1222.9,1375.6,1134.46,17.24,112.5,87.5,66.5,68.0,78.5,53.0,86.5,57.5,55.0,110.5,111.0,88.0
Rata Dam,23.1166,70.028,,,Anjar,Kachchh,64.0,,,,0.9009,5,Vertisols,Luvisols,"Indus, River",261.6797,0.0,710.0,683.0,962.1,671.0,914.7,788.16,22.44,54.5,48.5,46.5,51.0,64.0,54.5,50.0,51.5,122.0,56.0,72.0,76.0
Ratada Dam,21.3377,71.3049,Irrigation,Koliari,Kundla,Amreli,141.0,Earthen,160.0,27.26,1.8018,3,Vertisols,Cambisols,"Tapi, River",158.404,0.0001,984.7,1039.1,642.8,670.9,1063.3,880.16,15.27,68.5,59.5,62.5,61.5,57.5,66.0,51.5,55.0,28.5,110.5,66.0,85.0
Rathvana Muvada Dam,22.7055,73.9141,Irrigation,Kotar,Devgadh Bariya,dahod,206.0,Earthen,457.0,15.0,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",7.9484,-0.0004,1070.8,1257.7,913.2,1213.5,1486.9,1188.42,15.19,81.5,85.5,68.5,67.0,78.5,78.0,80.0,36.0,57.0,127.0,100.0,78.0
Ratia Dam,23.2416,69.6666,Irrigation,Local Stram,Bhuj,Kachchh,106.0,Earthen,884.0,13.5,0.9009,5,Vertisols,Luvisols,"Indus, River",223.1715,0.0,768.6,576.4,673.5,674.4,755.3,689.64,20.89,57.0,50.0,50.5,54.5,54.5,55.0,47.0,48.5,25.0,53.5,53.0,65.0
Ratnal Dam,23.1872,69.9013,Irrigation,Local Stream,Anjar,Kachchh,120.0,Earthen,1005.0,14.6,0.9009,5,Vertisols,Luvisols,"Indus, River",246.536,0.0,692.8,627.1,827.9,645.2,942.2,747.04,21.09,88.5,74.0,52.5,52.5,54.5,49.5,48.0,60.0,48.0,97.0,90.0,84.0
Raval II Dam,21.0941,70.8055,Irrigation,Raval,Gir Reserved Forest,Junagadh,216.0,Gravity & Masonry,940.0,53.0,6.3063,3,Vertisols,Leptosols,"Tapi, River",210.6966,0.0001,1457.9,1396.8,883.7,1009.2,1530.3,1255.58,14.59,87.5,76.0,68.0,72.0,103.5,4.0,72.0,0.5,11.5,8.0,118.0,102.0
Ravana Dam,21.3263,71.0252,Irrigation,Rampuri,Dhari Mahal,Amreli,213.0,Earthen,250.91,12.5,2.7027,3,Vertisols,Cambisols,"Tapi, River",187.2769,0.0001,1098.9,1102.2,598.5,649.6,1248.4,939.52,16.78,70.5,64.0,63.0,53.0,52.0,56.0,55.0,49.5,34.5,67.5,82.0,78.0
Reshamadi Galol Dam,21.6586,70.7227,Irrigation,T/Bhadr,Jetpur,Rajkot,113.0,Earthen,171.0,17.1,0.0,3,Vertisols,Cambisols,"Tapi, River",222.8949,0.0001,1247.4,1182.7,790.8,945.9,1374.5,1108.26,19.84,3.0,120.0,77.5,75.0,82.5,60.5,48.5,118.5,56.5,113.0,90.0,92.0
Revania Dam,22.0355,71.2016,Irrigation,Goma,Jasdan,Rajkot,198.0,Earthen,554.0,10.0,0.0,3,Vertisols,Cambisols,"Tapi, River",189.7983,0.0001,962.5,950.2,671.3,623.7,1453.7,932.28,16.01,99.5,69.0,72.0,58.5,77.0,57.5,98.0,112.0,46.0,76.0,79.0,83.0
Rojki Dam,21.2272,71.678,Irrigation,Rojki,Mahuva,Bhavnagar,96.0,Earthen,1627.0,24.46,1.8018,3,Vertisols,Leptosols,"Tapi, River",119.5016,0.0001,1084.5,1495.8,865.5,960.7,1385.0,1158.3,15.96,91.5,77.5,67.5,53.0,64.0,76.5,73.5,88.5,63.5,89.0,76.0,82.0
Rudramata Dam,23.3647,69.7061,Irrigation,Khari,Bhuj,Kachchh,35.0,Earthen / Gravity & Masonry,1814.0,37.04,2.7027,5,Unknown,Unknown,"Indus, River",219.1126,0.0001,672.5,501.6,672.8,556.6,768.8,634.46,19.79,58.5,54.5,53.0,47.0,49.0,54.5,49.0,56.5,59.5,74.0,77.0,80.0
Ruparel Dam,22.3827,70.26,Irrigation,Vartu,Jamnagar,Jamnagar,47.0,Earthen / Gravity & Masonry,3476.0,24.34,1.8018,4,Vertisols,Cambisols,"Mahi, River",289.7501,0.0,1219.1,1024.0,891.8,742.4,1336.2,1042.7,23.02,106.5,102.5,58.0,70.5,78.5,40.5,63.5,79.0,98.5,100.0,81.0,78.0
Rupen Dam,20.8233,71.0405,Irrigation,Rupen,Una,Junagadh,25.0,Earthen,579.0,27.0,1.8018,3,Vertisols,Lixisols,"Tapi, River",191.7083,0.0001,1076.3,1195.1,815.1,822.9,1280.9,1038.06,15.51,89.0,67.5,60.5,62.0,63.0,39.0,65.0,122.0,79.0,78.0,68.0,72.0
Sabarmati Dam,24.0133,72.9038,"Irrigation,Drinking,Water Supply",Sabarmati,Idar,Sabar Kantha,188.0,Earthen / Gravity & Masonry,1207.0,46.0,0.0,3,Unknown,Unknown,"Som Kahmla, River",108.9991,-0.0002,796.1,850.8,1082.5,1046.9,1091.8,973.62,15.19,11.0,25.5,11.0,14.0,13.0,17.0,3.0,16.5,4.5,24.5,16.0,240.0
Saburi Dam,22.5758,71.3694,Irrigation,T/Vartu,Muli,Surendranagar,125.0,Earthen / Gravity & Masonry,2400.0,11.35,0.0,3,Vertisols,Cambisols,"Mahi, River",176.1315,0.0,1042.0,952.5,813.2,583.7,1238.4,925.96,19.09,103.0,94.0,73.5,79.5,79.0,56.5,59.5,88.0,84.0,108.0,88.0,84.0
Samaghogho Dam,22.888,69.6672,,,Mundra,Kachchh,30.0,,,,0.9009,5,Vertisols,Cambisols,"Indus, River",247.5096,0.0,1346.8,820.9,856.3,813.3,1311.9,1029.84,24.57,56.5,53.0,50.5,53.0,54.5,52.0,25.0,58.0,32.0,90.0,77.0,78.0
Samal Kuav Dam,22.7019,73.9158,Irrigation,Kotar,Devgadh Bariya,Panch Mahals,199.0,Earthen,282.5,25.1,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",7.804,-0.0004,1070.8,1257.7,913.2,1213.5,1486.9,1188.42,15.19,75.5,68.5,68.5,65.0,78.5,78.0,80.0,36.0,57.0,103.5,100.0,78.0
Samariya Dam,21.8458,73.613,Irrigation,Kotar,Jhalod,dahod,108.0,Earthen,241.0,15.0,2.7027,3,Vertisols,Luvisols,"Narmada, River",19.8976,0.0001,1057.3,1114.2,1133.6,928.0,1611.5,1168.92,14.96,99.5,99.5,89.5,82.0,76.5,63.0,101.5,38.0,62.5,6.5,114.0,76.0
Sanala Dam,21.7025,71.0161,Irrigation,T/Keri,Gadhada,Bhavnagar,164.0,Earthen,147.0,14.7,0.9009,3,Vertisols,Cambisols,"Tapi, River",194.4595,0.0001,1288.5,1175.2,739.7,686.2,1283.7,1034.66,17.36,114.0,97.0,71.5,62.5,66.0,64.0,76.0,72.5,122.0,116.5,116.0,110.0
Sanandharo Dam,23.8155,68.7697,Irrigation,Kali,Lakhpat,Kachchh,26.0,Earthen,914.4,13.64,2.7027,5,Cambisols,Arenosols,"Indus, River",111.6886,0.0,460.0,286.9,599.3,417.1,614.1,475.48,19.16,57.0,54.5,50.5,46.0,48.5,42.0,40.5,49.0,68.0,79.5,71.0,69.0
Sanava Dam,23.6122,70.9575,Irrigation,Nagtarwalil,Rapar,Kachchh,29.0,Earthen,1554.0,15.55,1.8018,5,Arenosols,Vertisols,"Mahi, River",252.9525,0.0,572.6,574.9,628.4,634.2,544.1,590.84,16.22,77.0,79.0,64.5,60.0,59.0,60.5,63.5,27.0,32.5,96.5,76.0,91.0
Sandhida Dam,21.6955,71.75,Irrigation,Local Stream,Sihor,Bhavnagar,79.0,Earthen,592.2,13.0,0.0,3,Vertisols,Cambisols,"Tapi, River",122.4126,0.0001,1095.0,1060.5,823.6,694.8,1457.8,1026.34,16.46,80.0,66.5,53.0,53.0,57.5,68.5,98.5,88.0,76.5,102.0,78.0,66.0
Sani Dam,21.9763,69.4919,Irrigation,Sani,Kalyanpur,Jamnagar,10.0,Earthen / Gravity & Masonry,4350.0,18.65,2.7027,4,Vertisols,Cambisols,"Indus, River",314.0851,0.0,1737.6,1120.1,861.1,993.0,1656.2,1273.6,26.59,65.5,58.5,50.0,51.0,49.5,40.0,17.0,67.5,122.0,98.0,63.0,59.0
Sankroli Dam,21.6555,70.7736,Irrigation,Sankaroli,Kunkavavvadia,Amreli,124.0,Earthen,1670.0,19.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",217.6719,0.0001,1295.2,1196.9,754.5,868.4,1442.7,1111.54,19.61,97.0,87.0,68.5,77.0,100.0,51.0,31.5,86.5,39.0,95.0,77.0,77.0
Sanosara Dam,23.1258,69.6988,Irrigation,T/Kankawati,Abdasa,Kachchh,163.0,Earthen,962.0,15.36,1.8018,5,Luvisols,Vertisols,"Indus, River",233.3115,0.0,788.2,717.5,752.1,744.0,946.3,789.62,22.16,96.0,98.0,82.0,80.0,84.5,72.5,66.0,83.0,74.0,104.0,95.0,98.0
Sapada Dam,22.383,70.2277,Irrigation,Bhageri,Jamnagar,Jamnagar,53.0,Earthen,1828.0,20.47,0.0,4,Vertisols,Cambisols,"Mahi, River",293.0682,0.0,1219.1,1024.0,891.8,742.4,1336.2,1042.7,23.02,96.5,81.0,73.0,55.0,69.5,56.5,45.5,73.0,103.0,97.5,81.0,67.0
Saputara Dam,20.5763,73.7472,Irrigation,Sarapganga,The Dangs,The Dangs,873.0,Earthen,488.0,27.0,2.7027,3,Unknown,Unknown,"Ukai, Reservoir ",83.1879,0.002,1234.3,1572.8,1476.6,890.5,1446.0,1324.04,13.14,108.0,118.0,88.0,92.0,96.5,58.0,46.0,122.0,122.0,13.5,84.0,93.0
Sarakhadia Dam,21.0408,71.4486,Irrigation,Saburi,Rajula,Amreli,43.0,Earthen / Gravity & Masonry,3630.0,14.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",145.1832,0.0001,972.1,1233.9,804.9,835.6,1230.6,1015.42,15.37,84.5,79.0,84.0,75.5,65.0,61.0,21.0,63.5,66.0,101.5,92.0,68.0
Sardar Sarovar Saddle Dam,21.8302,73.75,Irrigation,,,Narmada,77.0,,,,3.6036,3,Unknown,Unknown,"Narmada, River",32.2864,0.0001,1057.3,1114.2,1133.6,928.0,1611.5,1168.92,14.96,71.0,60.0,69.5,59.5,58.0,49.5,42.0,122.0,75.0,98.5,107.0,24.0
Sardar Sarover Gujarat Dam,21.8299,73.748,"Hydroelectric,Irrigation",Narmada,Rajpipla,Narmada,28.0,Gravity & Masonry,1210.0,163.0,0.0,3,Unknown,Unknown,"Narmada, River",32.1237,0.0001,1057.3,1114.2,1133.6,928.0,1611.5,1168.92,14.96,71.0,67.0,69.5,59.5,58.0,49.5,42.0,122.0,64.5,110.0,110.0,24.0
Sargualla Dam,23.2608,68.8269,Irrigation,Naliya,Abdasa,Kachchh,24.0,Earthen,557.0,16.88,0.9009,5,Arenosols,Cambisols,"Indus, River",157.9136,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,78.0,77.5,70.5,61.5,68.5,52.0,33.0,61.0,65.5,96.0,86.0,90.0
Sartanpar Dam,22.0883,71.4688,Irrigation,T/Keri,Jasdan,Rajkot,131.0,Earthen,118.0,11.8,2.7027,3,Vertisols,Cambisols,"Tapi, River",168.9415,0.0001,887.5,880.4,658.9,600.9,1276.3,860.8,16.31,98.0,99.5,85.5,89.5,73.0,66.5,98.5,107.0,48.0,114.5,104.0,94.0
Sasoi Dam,22.3347,69.9616,Irrigation,Sasoi,Lalpur,Jamnagar,26.0,Earthen / Gravity & Masonry,4803.0,20.0,0.0,4,Vertisols,Cambisols,"Indus, River",312.1342,0.0,1155.2,1061.7,841.3,759.9,1349.4,1033.5,22.53,48.0,17.5,112.0,16.0,36.5,32.5,11.5,32.0,12.0,77.0,10.0,240.0
Savdi Dam,22.5983,70.6638,Irrigation,T/Demi,Morbi,Rajkot,54.0,Earthen,13.0,13.0,0.0,4,Vertisols,Cambisols,"Mahi, River",248.5718,0.0,1274.6,914.5,944.9,727.1,1258.6,1023.94,22.01,106.0,112.0,69.0,57.0,57.0,36.5,43.0,80.0,25.5,116.0,92.0,78.0
Savli Dam,23.0197,73.0699,Irrigation,Local Stream,Kapadvanj,Kheda,81.0,Earthen,2301.0,11.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",64.1202,0.0,984.1,1270.2,913.4,1108.0,1325.4,1120.22,16.83,74.0,75.0,57.0,66.0,72.0,68.0,82.5,68.0,28.5,105.5,96.0,66.0
Senjal Dam,21.3419,71.4347,Irrigation,Fulzer,Kundla,Amreli,130.0,Earthen,336.0,16.79,0.9009,3,Vertisols,Cambisols,"Tapi, River",145.0164,0.0001,1000.2,1123.9,764.7,774.4,1180.7,968.78,15.33,111.5,102.0,88.5,89.0,92.5,74.5,78.0,97.0,34.0,110.5,90.0,81.0
Shetrunji Dam,21.4747,71.8797,"Drinking,Water Supply",Shetrunji,Palitana,Bhavnagar,49.0,Earthen,3895.0,16.46,0.0,3,Unknown,Unknown,"Tapi, River",101.6691,0.0001,927.9,1227.1,760.0,754.8,1436.0,1021.16,15.98,35.5,56.0,38.5,38.0,14.5,35.0,7.5,42.5,33.5,72.5,78.0,46.0
Shetrunji Khodiar Dam,21.333,71.023,Irrigation,Shetrunji,Dhari Mahal,Amreli,200.0,Earthen / Gravity & Masonry,497.0,36.5,0.0,3,Unknown,Unknown,"Tapi, River",187.5365,0.0001,1098.9,1102.2,598.5,649.6,1248.4,939.52,16.78,85.5,68.5,49.0,52.5,61.0,44.0,38.5,47.5,20.0,98.0,68.0,68.0
Shihan Dam,22.2702,69.7075,Irrigation,Shihan,Khambhaliya,Jamnagar,27.0,Earthen,214.0,14.5,0.0,4,Vertisols,Cambisols,"Indus, River",300.3351,0.0,1253.0,1328.8,740.1,767.0,1331.4,1084.06,23.51,48.5,23.5,33.0,54.5,37.5,28.5,46.5,49.0,26.5,80.5,49.0,59.0
Shiney Dam,23.0438,70.0588,Irrigation,Local Stream,Anjar,Kachchh,40.0,Earthen,,11.5,0.0,5,Unknown,Unknown,"Indus, River",268.7255,0.0,722.0,720.0,908.3,664.5,961.6,795.28,23.4,31.0,27.5,41.5,30.5,41.5,37.0,39.0,50.5,42.0,54.0,59.0,54.0
Shingoda Dam,21.0213,70.7777,Irrigation,Shingoda,Gir Reserved Forest,Junagadh,136.0,Earthen,1773.0,16.91,0.0,3,Unknown,Unknown,"Tapi, River",214.4217,0.0001,1393.1,1374.0,856.9,951.6,1438.8,1202.88,14.78,100.0,82.0,66.0,72.0,99.5,118.5,88.5,53.0,27.0,114.5,102.0,117.0
Shivlakha Dam,23.4144,70.6405,Irrigation,Bhadargad,Rapar,Kachchh,103.0,Earthen,524.0,17.8,2.7027,5,Luvisols,Vertisols,"Mahi, River",271.9786,0.0,735.8,674.2,764.8,698.8,737.0,722.12,17.49,74.0,77.5,57.5,55.0,58.5,64.0,65.5,65.0,20.5,85.5,76.0,72.0
Sidhumber Dam,20.5402,73.1791,Irrigation,Gujarat,Dharampur,Valsad,73.0,,,,1.8018,3,Vertisols,Solonchaks,"Tapi, River",83.5217,0.0005,1625.2,2121.4,1882.3,1232.0,1874.8,1747.14,16.77,1.0,109.5,94.0,81.0,87.0,97.0,42.0,29.5,122.0,1.5,86.0,90.0
Singla Dam,22.2402,74.0219,Irrigation,T Narmada,Chhota Udepur,Vadodara,190.0,Earthen,342.0,13.42,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",52.2105,-0.0004,997.7,1019.9,1034.1,941.9,1467.2,1092.16,14.06,104.0,95.5,78.0,74.5,78.5,64.5,80.5,35.5,0.5,4.0,117.0,91.0
Singor Dam,22.6519,73.8611,Irrigation,,Devgadh Bariya,dahod,206.0,,,,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",14.8039,-0.0004,1111.4,1252.6,951.1,1218.9,1535.3,1213.86,15.13,98.5,86.5,76.0,70.5,76.5,78.0,62.5,60.5,41.0,122.5,104.0,78.0
Sipu Dam,24.4108,72.3033,Irrigation,Sipu,Dhanera,Banas Kantha,179.0,Earthen / Gravity & Masonry,8200.0,38.5,0.0,4,Unknown,Unknown,"Som Kahmla, River",176.4704,-0.0002,681.6,808.2,934.7,973.0,749.0,829.3,15.27,110.0,109.5,64.0,70.0,97.0,74.0,78.5,100.0,77.5,104.0,89.0,114.0
Sod Vadar Dam,21.8319,70.3633,Irrigation,T/Bhadr,Jam Kandorna,Rajkot,75.0,Earthen,1410.0,14.1,0.0,3,Vertisols,Cambisols,"Tapi, River",263.3391,0.0001,1462.6,925.7,878.1,1134.8,1689.0,1218.04,21.7,82.0,82.5,66.0,71.5,88.5,57.5,62.0,71.5,32.5,76.0,77.0,90.0
Sogthi Dam,22.068,70.1555,Irrigation,Fulzer,Jam Jodhpur,Jamnagar,149.0,Earthen,92.5,13.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",291.1222,0.0001,1346.7,930.7,816.3,637.6,1477.5,1041.76,19.82,96.0,81.5,62.0,57.5,59.5,44.0,55.5,106.5,32.5,100.5,83.0,83.0
Solsandha Dam,24.0866,72.903,Irrigation,T Of Banas,Danta,Banas Kantha,207.0,Earthen,325.0,17.0,4.5045,3,Vertisols,Cambisols,"Som Kahmla, River",109.6803,-0.0002,775.2,826.9,1071.9,983.2,1113.7,954.18,14.86,1.0,111.0,77.0,68.0,75.5,86.0,73.5,87.0,96.5,121.5,102.0,104.0
Sonmati Dam,22.0516,69.7716,Irrigation,,Bhanvad,Jamnagar,81.0,Earthen / Gravity & Masonry,304.0,20.94,2.7027,4,Vertisols,Cambisols,"Indus, River",323.5594,0.0,1317.4,1044.2,761.2,811.4,1571.1,1101.06,21.46,55.5,60.0,67.5,97.5,77.5,38.5,41.0,74.5,98.0,92.5,59.0,72.0
Sonwadi Dam,24.4219,72.5833,Irrigation,T Of Banas,Palanpur,Banas Kantha,224.0,Earthen,325.0,16.63,8.1081,3,Leptosols,Luvisols,"Som Kahmla, River",149.7738,-0.0002,710.2,776.0,873.6,1030.8,855.7,849.26,14.4,108.5,92.0,83.0,86.0,93.5,104.5,95.5,104.0,47.0,121.5,134.0,109.0
Sorthi Dam,21.9388,69.5966,Irrigation,Und,Porbandar,Porbandar,31.0,Earthen / Gravity & Masonry,2010.0,23.2,6.3063,3,Vertisols,Cambisols,"Indus, River",323.4226,0.0,1565.8,1136.8,820.2,950.7,1626.9,1220.08,21.11,83.0,75.0,58.0,92.0,81.0,46.0,32.0,68.5,27.5,92.0,60.0,77.0
Sukhbhadar Dam,22.345,71.5388,"Flood Control,Irrigation",Sukhbhadar,Sayla,Surendranagar,102.0,Earthen / Gravity & Masonry,1167.55,13.0,0.0,3,Unknown,Unknown,"Mahi, River",158.6184,0.0,881.5,936.6,804.7,624.2,1533.2,956.04,18.36,53.0,52.5,48.5,47.0,54.0,67.0,68.0,40.5,122.0,80.5,69.0,69.0
Sukhi Dam,22.4388,73.8824,Irrigation,Sukhi,Chhota Udepur,Vadodara,142.0,Earthen / Gravity & Masonry,4271.0,38.0,1.8018,3,Unknown,Unknown,"Unknown, Lake",32.0547,-0.0004,1081.6,1346.8,1010.3,1173.8,1505.5,1223.6,14.72,85.5,60.5,54.0,70.5,87.0,47.0,85.0,79.0,127.5,79.5,98.0,73.0
Sukhpur Dam,21.615,70.6244,Irrigation,,Dhari Mahal,Amreli,107.0,Earthen / Gravity & Masonry,1332.0,22.7,0.0,3,Vertisols,Cambisols,"Tapi, River",231.9929,0.0001,1247.7,1118.6,844.7,1033.8,1292.0,1107.36,18.92,98.0,92.0,68.0,72.5,75.5,61.5,51.5,94.5,38.0,95.5,78.0,85.0
Surajwadi Dam,21.1988,71.3697,Irrigation,Surajwadi,Kundla,Amreli,125.0,Gravity & Masonry,1823.0,21.0,0.0,3,Vertisols,Cambisols,"Tapi, River",151.5453,0.0001,968.8,1174.7,707.2,864.0,1127.3,968.4,15.23,84.5,87.0,55.5,73.5,54.5,46.5,48.5,59.5,100.0,85.5,79.0,73.0
Surjumi Dam,22.9355,74.0125,Irrigation,River,Limkheda,dahod,232.0,Earthen,453.0,19.0,4.5045,3,Vertisols,Luvisols,"Unknown, Lake",25.2885,-0.0004,1150.8,1318.2,987.6,1360.3,1665.0,1296.38,16.13,111.5,102.0,82.0,72.5,85.0,78.5,46.0,122.0,58.0,118.0,108.0,55.0
Surkhan Dam,23.1166,70.028,Irrigation,Surkhan,Anjar,Kachchh,64.0,Earthen,978.0,20.0,0.9009,5,Vertisols,Luvisols,"Indus, River",261.6797,0.0,710.0,683.0,962.1,671.0,914.7,788.16,22.44,54.5,48.5,46.5,51.0,64.0,54.5,50.0,51.5,122.0,56.0,72.0,76.0
Suvi Dam,23.6086,70.5002,Irrigation,Suvi,Rapar,Kachchh,26.0,Earthen,2097.0,20.42,1.8018,5,Vertisols,Regosols,"Indus, River",274.3933,-0.0003,695.4,497.4,732.1,620.7,569.0,622.92,19.04,90.5,86.5,83.5,66.5,72.5,65.0,55.0,60.5,85.0,96.0,104.0,103.0
Talvada Dam,23.3252,73.733,Irrigation,Kotar,Santrampur,Panch Mahals,132.0,Earthen,312.0,21.5,0.0,3,Vertisols,Luvisols,"Mahi, River",9.3723,0.0002,901.8,1323.2,917.6,1344.7,1471.5,1191.76,16.55,92.0,92.0,74.0,79.5,89.5,95.0,58.5,39.0,116.5,123.0,104.0,79.0
Tappar Dam,23.2583,70.1433,Irrigation,Sakara,Anjar,Kachchh,39.0,Earthen,4573.0,31.7,0.0,5,Vertisols,Luvisols,"Indus, River",263.263,0.0001,685.0,644.4,976.0,658.5,814.4,755.66,21.37,64.0,59.0,55.5,46.0,53.5,46.0,43.0,60.5,37.0,86.5,72.0,79.0
TaraManjal Dam,23.2341,69.4041,Irrigation,Local River,Nakhtarana,Kachchh,165.0,Earthen,167.68,11.89,1.8018,5,Luvisols,Vertisols,"Indus, River",202.085,0.0,838.6,525.2,647.6,659.0,838.9,701.86,21.11,93.0,93.0,72.0,68.0,68.5,59.0,68.5,78.0,88.5,100.5,81.0,94.0
Targol Dam,22.3397,73.6605,Irrigation,Kotal,Sankheda,Vadodara,110.0,Earthen,383.0,13.72,0.0,3,Unknown,Unknown,"Narmada, River",44.8729,0.0001,1189.1,1187.7,1180.1,1188.3,1638.7,1276.78,15.31,108.0,94.5,87.0,68.0,88.5,71.0,106.5,66.0,48.5,4.5,140.0,95.0
Thanagalol Dam,21.6955,70.688,Irrigation,Saloliavenkala,Jetpur,Rajkot,98.0,Earthen,1913.0,13.0,2.7027,3,Vertisols,Luvisols,"Tapi, River",227.2465,0.0001,1247.4,1182.7,790.8,945.9,1374.5,1108.26,19.84,97.0,102.0,76.5,66.0,73.0,58.0,24.0,61.5,122.0,113.5,94.0,95.0
