Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Mevasa Dam,21.3402,71.4613,,,Kundla,Amreli,137.0,,,,1.8018,3,Vertisols,Cambisols,"Tapi, River",142.255,0.0001,1000.2,1123.9,764.7,774.4,1180.7,968.78,15.33,95.5,79.0,72.5,70.0,72.0,75.0,79.0,63.5,31.5,105.5,76.0,70.0
Mitti Dam,23.3341,68.8352,Irrigation,Mitti,Abdasa,Kachchh,16.0,Earthen,4405.0,31.5,0.0,5,Vertisols,Solonchaks,"Indus, River",152.2201,0.0,748.0,561.6,657.6,663.5,820.7,690.28,22.01,64.0,42.0,38.0,35.5,47.0,40.0,31.0,53.5,56.5,71.5,86.0,76.0
Mobhness Dam,21.1408,71.2544,Irrigation,Dhatarwadi,Khambha Mahal,Amreli,199.0,Earthen,380.0,20.5,0.9009,3,Vertisols,Cambisols,"Tapi, River",163.8634,0.0001,1080.8,1274.8,676.3,866.4,1170.3,1013.72,15.9,100.5,87.5,69.5,74.5,72.0,63.5,48.0,114.0,96.5,112.5,79.0,76.0
Moj Dam,21.8469,70.2919,"Drinking, Water Supply",Moj,Upleta,Rajkot,67.0,Earthen / Gravity & Masonry,2294.0,36.07,0.0,3,Vertisols,Cambisols,"Tapi, River",270.8938,0.0001,1462.6,925.7,878.1,1134.8,1689.0,1218.04,21.7,68.5,62.0,45.0,61.0,49.0,43.5,25.5,55.5,122.0,75.0,68.0,66.0
Moldi Dam,22.4077,71.1277,Irrigation,T/Machhu,Chotila,Surendranagar,207.0,Earthen,1440.0,12.0,0.0,3,Unknown,Unknown,"Mahi, River",200.5004,0.0,991.1,1019.9,818.1,663.6,1490.1,996.56,18.79,78.0,73.0,76.0,75.0,83.5,80.5,103.0,108.0,83.0,98.5,90.0,94.0
Moralnaka Dam,23.1216,73.955,Irrigation,Kotar,Santrampur,Panch Mahals,170.0,Earthen,1237.0,27.5,0.9009,3,Vertisols,Cambisols,"Mahi, River",22.7901,0.0002,1098.6,1352.7,898.3,1394.7,1465.7,1242.0,16.65,127.0,120.5,80.0,76.5,102.5,72.5,40.5,44.5,9.5,123.0,99.0,55.0
Morchbana Dam,23.8155,68.7697,Irrigation,Khari Nadi,Lakhpat,Kachchh,26.0,Earthen,580.0,13.87,2.7027,5,Cambisols,Arenosols,"Indus, River",111.6886,0.0,460.0,286.9,599.3,417.1,614.1,475.48,19.16,57.0,54.5,50.5,46.0,48.5,42.0,40.5,49.0,68.0,79.5,71.0,69.0
Morsal Dam,22.395,71.2552,Irrigation,Dundhala,Chotila,Surendranagar,179.0,Earthen / Gravity & Masonry,3260.0,23.94,1.8018,3,Vertisols,Cambisols,"Mahi, River",187.4417,0.0,936.9,898.3,702.0,638.4,1351.1,905.34,18.77,92.0,92.5,74.5,66.5,70.0,57.5,72.0,85.0,40.0,101.5,80.0,83.0
Mota Ankadia Dam,21.6325,71.163,Irrigation,Local Stream,Amreli,Amreli,127.0,Earthen,2005.0,15.0,0.0,3,Unknown,Unknown,"Tapi, River",177.8346,0.0001,1070.7,1124.8,682.9,673.2,1245.6,959.44,17.08,60.0,25.5,14.5,22.0,29.0,28.0,29.5,41.0,18.0,45.5,39.0,69.0
Mota Bandharia Dam,21.5447,71.1011,Irrigation,Salal,Amreli,Amreli,126.0,Earthen,2843.0,10.0,0.0,3,Vertisols,Cambisols,"Tapi, River",182.0922,0.0001,1038.4,1020.6,670.7,702.5,1214.6,929.36,16.66,108.5,78.5,71.0,68.0,72.5,59.0,55.0,42.0,35.5,115.0,113.0,101.0
Mota Gujariya Dam,21.4969,70.7536,Irrigation,Minsar,Bhesan Mahal,Junagadh,129.0,Earthen / Gravity & Masonry,2260.0,16.8,0.0,3,Vertisols,Cambisols,"Tapi, River",216.8628,0.0001,1270.3,1170.0,759.9,951.7,1320.2,1094.42,18.16,100.5,82.0,65.0,72.5,89.0,78.5,40.5,95.0,122.0,84.5,84.0,85.0
Mota Kanthariya Dam,23.6794,73.485,Irrigation,Local Wangha,Bhiloda,Sabar Kantha,220.0,Earthen,939.0,13.39,1.8018,3,Vertisols,Luvisols,"Mahi, River",55.7065,0.0002,937.4,1366.6,1003.7,1186.4,1227.5,1144.32,15.96,99.5,119.5,87.5,70.5,102.0,103.0,38.5,83.5,105.5,1.5,97.0,87.0
MotaChhaida Dam,22.1722,71.6636,Irrigation,Sodhedare,Botad,Bhavnagar,90.0,Earthen,842.5,11.5,1.8018,3,Vertisols,Cambisols,"Mahi, River",148.5879,0.0,899.4,898.4,776.7,713.3,1790.2,1015.6,18.62,58.5,52.0,51.5,48.5,46.0,47.0,51.5,57.5,22.0,54.5,69.0,66.0
MotaZinzuda Dam,21.3291,71.3772,Irrigation,Local Stream,Kundla,Amreli,145.0,Earthen,89.0,17.0,0.9009,3,Vertisols,Luvisols,"Tapi, River",150.8733,0.0001,962.2,1063.6,715.7,732.8,1112.3,917.32,15.09,95.0,85.0,68.5,74.5,70.5,65.5,65.0,42.0,40.0,110.5,95.0,81.0
Motakotada Dam,23.7088,73.0972,Irrigation,Local Vangha,Idar,Sabar Kantha,183.0,Earthen,695.0,18.0,2.7027,3,Vertisols,Luvisols,"Mahi, River",86.9524,0.0002,1010.1,994.9,1065.4,1316.4,1129.9,1103.34,16.15,3.5,121.0,77.0,79.5,99.5,104.0,45.0,111.0,61.5,107.5,97.0,88.0
Moti Kharsoli Dam,23.2025,73.8513,Irrigation,Kotar,Santrampur,Panch Mahals,141.0,Earthen,816.0,19.5,3.6036,3,Vertisols,Cambisols,"Mahi, River",9.2047,0.0002,893.2,1393.7,982.6,1331.8,1419.8,1204.22,16.66,114.0,103.0,84.5,81.5,101.0,92.0,60.5,26.5,21.0,124.0,95.0,70.0
MotiKundol Dam,21.9083,71.4858,Irrigation,Local Kotar,Gadhada,Bhavnagar,112.0,Earthen,117.0,14.5,3.6036,3,Vertisols,Cambisols,"Tapi, River",157.2703,0.0001,1091.9,989.6,663.1,604.5,1330.9,936.0,16.72,89.0,85.5,72.5,72.0,63.0,61.0,79.0,70.0,38.0,114.0,105.0,95.0
Motisar Dam,22.0702,70.6691,Irrigation,Motisar,Gondal,Rajkot,142.0,Earthen / Gravity & Masonry,2087.0,10.5,0.0,3,Vertisols,Cambisols,"Tapi, River",241.3821,0.0001,1199.3,1030.4,733.7,787.5,1430.9,1036.36,19.01,95.0,65.5,68.0,72.5,65.5,59.5,58.0,63.5,32.5,69.0,68.0,82.0
Moyalapad Dam,23.1219,73.7066,Irrigation,Kotar,Santrampur,Panch Mahals,160.0,Earthen,156.66,15.8,32.4324,3,Vertisols,Leptosols,"Mahi, River",19.7241,0.0002,960.3,1125.6,918.8,1176.1,1430.8,1122.32,15.78,122.5,110.0,76.5,68.5,83.5,103.0,47.0,115.0,97.5,114.5,112.0,75.0
Mudhan Dam,23.75,68.9327,,Ozat,Lakhpat,Kachchh,35.0,,2760.0,16.15,0.0,5,Cambisols,Vertisols,"Indus, River",129.5907,0.0,446.1,293.6,602.3,464.7,656.9,492.72,19.12,80.0,74.5,69.5,61.0,60.5,54.0,34.0,59.5,92.0,98.5,84.0,90.0
Mukteshwar Dam,24.0413,72.6322,Irrigation,Meshwo,Kheralu,Mahesana,200.0,Gravity & Masonry,251.0,35.94,0.0,3,Unknown,Unknown,"Som Kahmla, River",136.6926,-0.0002,870.5,809.6,980.6,994.3,969.9,924.98,14.86,98.0,69.0,64.5,78.0,88.0,93.5,71.5,73.5,76.0,95.5,71.0,107.0
Mulbavla Dam,22.7324,71.9775,Irrigation,Local Stream,Limbdi,Surendranagar,13.0,Earthen,9735.0,11.5,0.0,3,Vertisols,Cambisols,"Mahi, River",117.4729,0.0,1067.1,1037.3,942.8,842.3,1519.3,1081.76,19.79,96.0,91.0,67.5,61.5,62.5,60.0,47.0,46.5,40.5,84.5,75.0,74.0
Munjiasar Dam,21.4797,70.9175,Irrigation,Satali,Kunkavavvadia,Amreli,168.0,Earthen,4602.0,18.77,0.0,3,Vertisols,Cambisols,"Tapi, River",199.7981,0.0001,1242.4,1178.0,728.1,844.6,1339.0,1066.42,17.72,117.5,83.5,73.0,89.5,85.0,50.5,61.5,85.0,33.5,82.5,84.0,77.0
Muval Dam,21.9022,70.0352,Irrigation,Local Voklo,Jam Jodhpur,Jamnagar,96.0,Earthen,380.0,19.8,0.9009,3,Vertisols,Cambisols,"Tapi, River",298.0851,0.0001,1336.0,898.0,826.6,864.5,1484.0,1081.82,20.34,102.5,87.5,60.0,66.5,50.5,34.0,52.5,41.0,122.0,107.0,68.0,100.0
Muvalia Dam,22.808,74.2372,Irrigation,Dudhimoti,Dahod,dahod,310.0,Earthen,544.0,20.0,0.0,3,Unknown,Unknown,"Unknown, Lake",27.498,-0.0004,933.6,1314.9,740.6,1093.5,1254.3,1067.38,15.04,98.5,92.0,70.5,70.0,82.5,71.5,35.5,40.0,83.0,108.5,79.0,59.0
Nagarpiplalia Dam,22.2622,70.5455,Irrigation,Ruparel,Lodhi Ka Mahal,Rajkot,100.0,Earthen,169.0,15.0,4.5045,3,Vertisols,Cambisols,"Mahi, River",261.2137,0.0,1248.6,968.1,958.8,704.0,1291.0,1034.1,20.64,106.5,85.0,59.5,56.5,62.5,45.0,71.5,95.5,32.0,91.0,70.0,82.0
Nagdhaniba Dam,21.5938,72.1622,Irrigation,,Bhavnagar,Bhavnagar,65.0,Earthen,640.0,16.4,0.9009,3,Vertisols,Cambisols,"Tapi, River",79.1785,0.0001,1057.3,1454.9,951.3,803.9,1392.1,1131.9,16.19,91.0,87.0,66.0,68.5,69.5,66.5,38.0,72.0,88.0,91.5,84.0,75.0
Nal Dam,21.3424,71.5619,Irrigation,Maleshri,Kundla,Amreli,141.0,Earthen,756.0,16.89,0.0,3,Vertisols,Cambisols,"Tapi, River",131.8802,0.0001,927.9,1191.8,790.5,826.6,1255.1,998.38,15.63,95.5,92.0,76.5,73.0,87.0,84.0,40.0,64.5,63.5,116.5,91.0,76.0
Nanamatra Dam,22.2816,71.3869,Irrigation,Triveni,Sayla,Surendranagar,135.0,Earthen,616.0,17.0,4.5045,3,Vertisols,Cambisols,"Mahi, River",174.8237,0.0,878.4,862.8,652.5,576.0,1336.5,861.24,17.35,100.5,95.5,79.0,73.5,63.5,61.0,68.5,101.5,43.0,109.5,83.0,86.0
