Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Monsoon Intensity,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Avg_NDVI_Last5Years,Geological_Suitability_Score,Climatic_Effect_Score,Overall_Suitability_Score,Geological_Suitability_Category,Climatic_Effect_Category,Overall_Suitability_Category,Rainfall_StdDev_5yr,Max_Annual_Rainfall,Min_Annual_Rainfall,NDVI_StdDev_5yr,NDVI_Trend_5yr
Sargualla Dam,23.2608,68.8269,Irrigation,Naliya,Abdasa,Kachchh,24.0,,Earthen,557.0,16.88,0.9009,5,Arenosols,Cambisols,"Indus, River",157.9136,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,,57,65,60.2,Fair,Moderate,Moderate,156.42599528211414,973.4,574.2,,
Sartanpar Dam,22.0883,71.4688,Irrigation,T/Keri,Jasdan,Rajkot,131.0,,Earthen,118.0,11.8,2.7027,3,Vertisols,Cambisols,"Tapi, River",168.9415,0.0001,887.5,880.4,658.9,600.9,1276.3,860.8,16.31,,72,75,73.2,Good,Good,Good,265.54139037069154,1276.3,600.9,,
Sasoi Dam,22.3347,69.9616,Irrigation,Sasoi,Lalpur,Jamnagar,26.0,,Earthen / Gravity & Masonry,4803.0,20.0,0.0,4,Vertisols,Cambisols,"Indus, River",312.1342,0.0,1155.2,1061.7,841.3,759.9,1349.4,1033.5,22.53,,67,63,65.4,Moderate,Moderate,Moderate,238.32579591810875,1349.4,759.9,,
Savdi Dam,22.5983,70.6638,Irrigation,T/Demi,Morbi,Rajkot,54.0,,Earthen,13.0,13.0,0.0,4,Vertisols,Cambisols,"Mahi, River",248.5718,0.0,1274.6,914.5,944.9,727.1,1258.6,1023.94,22.01,,70,63,67.2,Good,Moderate,Moderate,236.76685367677626,1274.6,727.1,,
Savli Dam,23.0197,73.0699,Irrigation,Local Stream,Kapadvanj,Kheda,81.0,,Earthen,2301.0,11.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",64.1202,0.0,984.1,1270.2,913.4,1108.0,1325.4,1120.22,16.83,,75,78,76.2,Good,Good,Good,177.51431491572734,1325.4,913.4,,
Senjal Dam,21.3419,71.4347,Irrigation,Fulzer,Kundla,Amreli,130.0,,Earthen,336.0,16.79,0.9009,3,Vertisols,Cambisols,"Tapi, River",145.0164,0.0001,1000.2,1123.9,764.7,774.4,1180.7,968.78,15.33,,75,80,77.0,Good,Excellent,Good,193.25614349872555,1180.7,764.7,,
Shetrunji Dam,21.4747,71.8797,"Drinking,Water Supply",Shetrunji,Palitana,Bhavnagar,49.0,,Earthen,3895.0,16.46,0.0,3,Unknown,Unknown,"Tapi, River",101.6691,0.0001,927.9,1227.1,760.0,754.8,1436.0,1021.16,15.98,,62,75,67.2,Moderate,Good,Moderate,300.97887467395446,1436.0,754.8,,
Shetrunji Khodiar Dam,21.333,71.023,Irrigation,Shetrunji,Dhari Mahal,Amreli,200.0,,Earthen / Gravity & Masonry,497.0,36.5,0.0,3,Unknown,Unknown,"Tapi, River",187.5365,0.0001,1098.9,1102.2,598.5,649.6,1248.4,939.52,16.78,,63,75,67.8,Moderate,Good,Moderate,294.79733207748,1248.4,598.5,,
Shihan Dam,22.2702,69.7075,Irrigation,Shihan,Khambhaliya,Jamnagar,27.0,,Earthen,214.0,14.5,0.0,4,Vertisols,Cambisols,"Indus, River",300.3351,0.0,1253.0,1328.8,740.1,767.0,1331.4,1084.06,23.51,,67,63,65.4,Moderate,Moderate,Moderate,303.50082042722715,1331.4,740.1,,
Shiney Dam,23.0438,70.0588,Irrigation,Local Stream,Anjar,Kachchh,40.0,,Earthen,,11.5,0.0,5,Unknown,Unknown,"Indus, River",268.7255,0.0,722.0,720.0,908.3,664.5,961.6,795.28,23.4,,52,63,56.4,Fair,Moderate,Fair,130.93539246513907,961.6,664.5,,
Shingoda Dam,21.0213,70.7777,Irrigation,Shingoda,Gir Reserved Forest,Junagadh,136.0,,Earthen,1773.0,16.91,0.0,3,Unknown,Unknown,"Tapi, River",214.4217,0.0001,1393.1,1374.0,856.9,951.6,1438.8,1202.88,14.78,,65,63,64.2,Moderate,Moderate,Moderate,275.66635086640514,1438.8,856.9,,
Shivlakha Dam,23.4144,70.6405,Irrigation,Bhadargad,Rapar,Kachchh,103.0,,Earthen,524.0,17.8,2.7027,5,Luvisols,Vertisols,"Mahi, River",271.9786,0.0,735.8,674.2,764.8,698.8,737.0,722.12,17.49,,62,68,64.4,Moderate,Moderate,Moderate,35.60297740358239,764.8,674.2,,
Sidhumber Dam,20.5402,73.1791,Irrigation,Gujarat,Dharampur,Valsad,73.0,,,,,1.8018,3,Vertisols,Solonchaks,"Tapi, River",83.5217,0.0005,1625.2,2121.4,1882.3,1232.0,1874.8,1747.14,16.77,,65,73,68.2,Moderate,Good,Moderate,337.22189727240436,2121.4,1232.0,,
Singla Dam,22.2402,74.0219,Irrigation,T Narmada,Chhota Udepur,Vadodara,190.0,,Earthen,342.0,13.42,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",52.2105,-0.0004,997.7,1019.9,1034.1,941.9,1467.2,1092.16,14.06,,75,73,74.2,Good,Good,Good,212.57247705194575,1467.2,941.9,,
Singor Dam,22.6519,73.8611,Irrigation,,Devgadh Bariya,dahod,206.0,,,,,1.8018,3,Vertisols,Luvisols,"Unknown, Lake",14.8039,-0.0004,1111.4,1252.6,951.1,1218.9,1535.3,1213.86,15.13,,62,75,67.2,Moderate,Good,Moderate,214.70370979561574,1535.3,951.1,,
Sipu Dam,24.4108,72.3033,Irrigation,Sipu,Dhanera,Banas Kantha,179.0,,Earthen / Gravity & Masonry,8200.0,38.5,0.0,4,Unknown,Unknown,"Som Kahmla, River",176.4704,-0.0002,681.6,808.2,934.7,973.0,749.0,829.3,15.27,,58,75,64.8,Fair,Good,Moderate,122.9506405026017,973.0,681.6,,
Sod Vadar Dam,21.8319,70.3633,Irrigation,T/Bhadr,Jam Kandorna,Rajkot,75.0,,Earthen,1410.0,14.1,0.0,3,Vertisols,Cambisols,"Tapi, River",263.3391,0.0001,1462.6,925.7,878.1,1134.8,1689.0,1218.04,21.7,,75,63,70.2,Good,Moderate,Good,349.8441410113938,1689.0,878.1,,
Sogthi Dam,22.068,70.1555,Irrigation,Fulzer,Jam Jodhpur,Jamnagar,149.0,,Earthen,92.5,13.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",291.1222,0.0001,1346.7,930.7,816.3,637.6,1477.5,1041.76,19.82,,75,68,72.2,Good,Moderate,Good,356.85066624570004,1477.5,637.6,,
Solsandha Dam,24.0866,72.903,Irrigation,T Of Banas,Danta,Banas Kantha,207.0,,Earthen,325.0,17.0,4.5045,3,Vertisols,Cambisols,"Som Kahmla, River",109.6803,-0.0002,775.2,826.9,1071.9,983.2,1113.7,954.18,14.86,,69,70,69.4,Moderate,Good,Moderate,148.6445659955318,1113.7,775.2,,
Sonmati Dam,22.0516,69.7716,Irrigation,,Bhanvad,Jamnagar,81.0,,Earthen / Gravity & Masonry,304.0,20.94,2.7027,4,Vertisols,Cambisols,"Indus, River",323.5594,0.0,1317.4,1044.2,761.2,811.4,1571.1,1101.06,21.46,,67,63,65.4,Moderate,Moderate,Moderate,342.9217811688257,1571.1,761.2,,
Sonwadi Dam,24.4219,72.5833,Irrigation,T Of Banas,Palanpur,Banas Kantha,224.0,,Earthen,325.0,16.63,8.1081,3,Leptosols,Luvisols,"Som Kahmla, River",149.7738,-0.0002,710.2,776.0,873.6,1030.8,855.7,849.26,14.4,,55,70,61.0,Fair,Good,Moderate,120.72219348570498,1030.8,710.2,,
Sorthi Dam,21.9388,69.5966,Irrigation,Und,Porbandar,Porbandar,31.0,,Earthen / Gravity & Masonry,2010.0,23.2,6.3063,3,Vertisols,Cambisols,"Indus, River",323.4226,0.0,1565.8,1136.8,820.2,950.7,1626.9,1220.08,21.11,,65,58,62.2,Moderate,Fair,Moderate,362.08769241718227,1626.9,820.2,,
Sukhbhadar Dam,22.345,71.5388,"Flood Control,Irrigation",Sukhbhadar,Sayla,Surendranagar,102.0,,Earthen / Gravity & Masonry,1167.55,13.0,0.0,3,Unknown,Unknown,"Mahi, River",158.6184,0.0,881.5,936.6,804.7,624.2,1533.2,956.04,18.36,,65,65,65.0,Moderate,Moderate,Moderate,343.5365235313416,1533.2,624.2,,
Sukhi Dam,22.4388,73.8824,Irrigation,Sukhi,Chhota Udepur,Vadodara,142.0,,Earthen / Gravity & Masonry,4271.0,38.0,1.8018,3,Unknown,Unknown,"Unknown, Lake",32.0547,-0.0004,1081.6,1346.8,1010.3,1173.8,1505.5,1223.6,14.72,,63,70,65.8,Moderate,Good,Moderate,201.73421871363323,1505.5,1010.3,,
Sukhpur Dam,21.615,70.6244,Irrigation,,Dhari Mahal,Amreli,107.0,,Earthen / Gravity & Masonry,1332.0,22.7,0.0,3,Vertisols,Cambisols,"Tapi, River",231.9929,0.0001,1247.7,1118.6,844.7,1033.8,1292.0,1107.36,18.92,,75,78,76.2,Good,Good,Good,179.1053684287548,1292.0,844.7,,
