Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Monsoon Intensity,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Avg_NDVI_Last5Years,Geological_Suitability_Score,Climatic_Effect_Score,Overall_Suitability_Score,Geological_Suitability_Category,Climatic_Effect_Category,Overall_Suitability_Category,Rainfall_StdDev_5yr,Max_Annual_Rainfall,Min_Annual_Rainfall,NDVI_StdDev_5yr,NDVI_Trend_5yr
Utavali (Gunda) Dam,22.1905,71.7933,Irrigation,Utavali,Dhandhuka,Ahmadabad,46.0,,Earthen / Gravity & Masonry,5080.0,20.0,0.0,3,Vertisols,Cambisols,"Mahi, River",135.1034,0.0,920.7,905.5,747.0,761.5,1715.9,1010.12,18.16,,72,65,69.2,Good,Moderate,Moderate,402.5266227220257,1715.9,747.0,,
Vachappari Dam,22.0433,70.8672,,Vachappari,Kotda Sangani,Rajkot,165.0,,Earthen / Gravity & Masonry,1814.0,29.5,1.8018,3,Vertisols,Cambisols,"Tapi, River",221.3766,0.0001,1088.6,945.6,780.5,785.3,1557.7,1031.54,17.58,,75,73,74.2,Good,Good,Good,320.6014238895392,1557.7,780.5,,
Vadal Dam,21.4502,71.8452,,T/ Shetrunji,Palitana,Bhavnagar,121.0,,Earthen,164.0,17.0,5.4054,3,Leptosols,Vertisols,"Tapi, River",104.5222,0.0001,927.9,1227.1,760.0,754.8,1436.0,1021.16,15.98,,68,75,70.8,Moderate,Good,Good,300.97887467395446,1436.0,754.8,,
Vadali Dam,22.1947,70.8824,,T/Bhadr,Upleta,Rajkot,188.0,,Earthen,1390.0,13.9,1.8018,3,Vertisols,Cambisols,"Tapi, River",227.136,0.0001,1022.3,871.1,766.2,682.3,1414.7,951.32,18.01,,75,73,74.2,Good,Good,Good,288.4595326904625,1414.7,682.3,,
Vadatalav Dam,22.4916,73.5544,,Kotar,Halol,Panch Mahals,128.0,,Earthen,2669.45,10.0,0.0,3,Vertisols,Cambisols,"Mahi, River",49.2485,0.0,1156.5,1212.0,1122.8,1217.6,1562.3,1254.24,15.53,,75,75,75.0,Good,Good,Good,176.67572838395205,1562.3,1122.8,,
Vadekhan Dam,21.7825,70.0516,Irrigation,Localvehla,Upleta,Rajkot,102.0,,Earthen,338.0,16.0,0.0,3,Luvisols,Vertisols,"Tapi, River",293.575,0.0001,1463.8,937.1,860.4,1006.2,1569.5,1167.4,21.15,,75,68,72.2,Good,Moderate,Good,325.1191704590795,1569.5,860.4,,
Vadi (mangarwal) Dam,21.6275,71.1652,Irrigation,Vadi,Amreli,Amreli,127.0,,Earthen / Gravity & Masonry,2891.0,13.03,0.0,3,Vertisols,Cambisols,"Tapi, River",177.4835,0.0001,1070.7,1124.8,682.9,673.2,1245.6,959.44,17.08,,75,75,75.0,Good,Good,Good,264.58362194209974,1245.6,673.2,,
Vadia Dam,21.6341,70.9847,Irrigation,Venu,Kunkavavvadia,Amreli,164.0,,Earthen / Gravity & Masonry,2476.0,16.45,0.0,3,Vertisols,Cambisols,"Tapi, River",195.835,0.0001,1148.2,1157.3,719.5,771.9,1298.9,1019.16,17.74,,75,75,75.0,Good,Good,Good,257.3529055596614,1298.9,719.5,,
Vadisang Dam,22.2805,70.3627,Irrigation,Sarvo,Jamnagar,Jamnagar,90.0,,Earthen / Gravity & Masonry,2476.0,12.5,0.9009,4,Vertisols,Cambisols,"Tapi, River",279.5386,0.0001,1214.7,924.3,945.2,653.9,1296.0,1006.82,21.38,,70,68,69.2,Good,Moderate,Moderate,255.92883190449646,1296.0,653.9,,
Vagadi Dam,23.8011,72.8105,Irrigation,Local Vangha,Himatnagar,Sabar Kantha,133.0,,Earthen,470.0,17.5,2.7027,3,Vertisols,Luvisols,"Mahi, River",117.1839,0.0002,945.0,794.7,1048.2,1127.4,1123.8,1007.82,15.81,,72,80,75.2,Good,Excellent,Good,140.31016356629337,1127.4,794.7,,
Vagas Dam,23.0197,73.0699,Irrigation,Vehla,Kapadvanj,Kheda,81.0,,Earthen,3414.0,10.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",64.1202,0.0,984.1,1270.2,913.4,1108.0,1325.4,1120.22,16.83,,75,78,76.2,Good,Good,Good,177.51431491572734,1325.4,913.4,,
Vagdokyari Dam,24.193,72.7658,Irrigation,,Danta,Banas Kantha,272.0,,Earthen,158.0,17.0,10.8108,3,Vertisols,Luvisols,"Som Kahmla, River",125.2381,-0.0002,790.7,977.7,1045.5,1035.0,1049.0,979.58,14.71,,62,70,65.2,Moderate,Good,Moderate,109.4476450180633,1049.0,790.7,,
Vaghvadarada Dam,21.0963,71.7769,Irrigation,Local Stream,Mahuva,Bhavnagar,10.0,,Earthen,809.0,10.2,0.9009,3,Vertisols,Fluvisols,"Tapi, River",110.5701,0.0001,877.0,1576.0,719.0,817.4,1210.6,1040.0,15.97,,68,70,68.8,Moderate,Good,Moderate,351.98051082410797,1576.0,719.0,,
Vaidy Dam,23.3183,73.4058,Irrigation,Watrak,Meghraj,Sabar Kantha,124.0,,Earthen,1008.0,19.1,43.2432,3,Vertisols,Leptosols,"Mahi, River",41.1578,0.0002,971.6,1224.6,878.3,1595.3,1210.0,1175.96,17.15,,65,80,71.0,Moderate,Excellent,Good,278.26924551592117,1595.3,878.3,,
Vakdi Ajnava Dam,23.1158,73.8202,Irrigation,Kotar,Santrampur,Panch Mahals,165.0,,Earthen,296.0,21.2,9.9099,3,Vertisols,Leptosols,"Mahi, River",17.6516,0.0002,988.0,1160.1,947.5,1232.6,1377.1,1141.06,15.76,,68,85,74.8,Moderate,Excellent,Good,177.0238769206007,1377.1,947.5,,
Valam Dam,23.715,72.4641,Irrigation,,Visnagar,Mahesana,113.0,,,,,0.9009,3,Cambisols,Luvisols,"Mahi, River",145.3524,0.0002,1050.6,764.5,991.9,1065.3,955.4,965.54,16.36,,60,80,68.0,Moderate,Excellent,Moderate,120.83254114682848,1065.3,764.5,,
Valavad Dam,21.7152,71.9333,Irrigation,Local Stream,Sihor,Bhavnagar,43.0,,Earthen,526.0,13.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",106.4132,0.0001,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,,72,75,73.2,Good,Good,Good,306.8461503750699,1457.0,675.4,,
Vali Dam,21.7799,73.3319,Irrigation,Local Khadi,Jhagadia,Bharuch,75.0,,Earthen,435.0,20.91,3.6036,3,Vertisols,Luvisols,"Narmada, River",11.8008,-0.0001,1182.2,1183.3,1293.9,993.5,1774.2,1285.42,15.6,,72,70,71.2,Good,Good,Good,293.8017818189672,1774.2,993.5,,
Vamaka Dam,23.3041,70.3505,Irrigation,Vamaka,Bhachau,Kachchh,48.0,,Earthen,183.0,21.25,1.8018,5,Vertisols,Arenosols,"Indus, River",279.3222,0.0001,718.7,662.2,800.2,695.9,771.2,729.64,18.37,,62,73,66.4,Moderate,Good,Moderate,55.928910234332314,800.2,662.2,,
Vanala Dam,22.0636,71.4355,Irrigation,Khari,Jasdan,Rajkot,156.0,,Earthen,477.0,15.5,1.8018,3,Vertisols,Cambisols,"Tapi, River",170.3511,0.0001,906.2,915.7,642.9,664.8,1348.4,895.6,16.72,,75,75,75.0,Good,Good,Good,284.020307372554,1348.4,642.9,,
Vansiali Dam,21.3402,71.4613,Irrigation,Local Stream,Kundla,Amreli,137.0,,Earthen,267.0,18.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",142.255,0.0001,1000.2,1123.9,764.7,774.4,1180.7,968.78,15.33,,75,80,77.0,Good,Excellent,Good,193.25614349872555,1180.7,764.7,,
Vanthali Dam,21.4611,70.3716,Irrigation,T/Bhadr,Gondal,Rajkot,37.0,,Earthen,100.0,10.0,0.0,3,Vertisols,Luvisols,"Tapi, River",255.7745,0.0001,1631.4,1085.8,936.7,1043.3,1542.1,1247.86,18.33,,72,68,70.4,Good,Moderate,Good,315.67740337249353,1631.4,936.7,,
Vardhari Dam,23.0883,73.4538,Irrigation,Shedhi,Lunavada,Panch Mahals,97.0,,Earthen,381.0,15.9,0.9009,3,Vertisols,Luvisols,"Mahi, River",41.4934,0.0002,945.8,1189.2,874.2,1277.0,1333.7,1123.98,15.96,,75,85,79.0,Good,Excellent,Good,203.58622743201468,1333.7,874.2,,
Vartu II Dam,21.9247,69.7036,Irrigation,Vadi,Bhanvad,Jamnagar,29.0,,Earthen,6789.3,23.75,6.3063,3,Unknown,Unknown,"Indus, River",330.8882,0.0,1552.8,1063.0,785.9,874.1,1493.8,1153.92,21.07,,55,63,58.2,Fair,Moderate,Fair,352.3592158579083,1552.8,785.9,,
Vartu I Dam,22.0166,69.8113,Irrigation,Vartu,Bhanvad,Jamnagar,78.0,,Earthen / Gravity & Masonry,2331.0,28.34,1.8018,4,Vertisols,Cambisols,"Tapi, River",323.5898,0.0001,1317.4,1044.2,761.2,811.4,1571.1,1101.06,21.46,,70,68,69.2,Good,Moderate,Moderate,342.9217811688257,1571.1,761.2,,
Vasatava Dam,23.293,70.3388,Irrigation,Khari River,Bhachau,Kachchh,36.0,,Earthen,157.0,22.0,1.8018,5,Vertisols,Luvisols,"Indus, River",278.8354,0.0001,718.7,662.2,800.2,695.9,771.2,729.64,18.37,,62,73,66.4,Moderate,Good,Moderate,55.928910234332314,800.2,662.2,,
Vavor Dam,22.8394,69.7238,Irrigation,Local Stream,Mundra,Kachchh,16.0,,Earthen,1240.0,10.12,0.0,5,Vertisols,Arenosols,"Indus, River",255.4349,0.0,1319.3,774.9,912.8,843.8,1427.8,1055.72,24.8,,58,63,60.0,Fair,Moderate,Moderate,296.6959841319056,1427.8,774.9,,
Vayor Dam,23.4175,68.6966,Irrigation,Local River,Lakhpat,Kachchh,33.0,,Earthen,960.0,12.8,0.9009,5,Arenosols,Cambisols,"Indus, River",136.002,0.0,602.7,450.5,648.0,577.1,738.1,603.28,19.28,,57,70,62.2,Fair,Good,Moderate,105.12346074972989,738.1,450.5,,
Veardi I Dam,21.7644,72.1522,Irrigation,Bhadthari,Bhanvad,Jamnagar,23.0,,Earthen / Gravity & Masonry,2060.0,13.76,0.0,3,Vertisols,Cambisols,"Tapi, River",90.7022,0.0001,1001.8,1251.2,826.6,777.1,1623.4,1096.02,17.64,,72,78,74.4,Good,Good,Good,348.3478893290442,1623.4,777.1,,
Vekari Dam,21.6219,70.0658,Irrigation,T/Bhadr,Gondal,Rajkot,20.0,,Earthen,1160.0,11.6,0.9009,3,Vertisols,Cambisols,"Tapi, River",289.1892,0.0001,1626.9,1013.2,946.9,1125.5,1549.4,1252.38,20.45,,72,63,68.4,Good,Moderate,Moderate,314.28877962790847,1626.9,946.9,,
Vengadi Dam,22.8333,69.3552,Irrigation,Mandvi,Mandvi,Kachchh,8.0,,Earthen,1737.0,16.45,0.9009,5,Vertisols,Cambisols,"Indus, River",229.1742,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,,58,53,56.0,Fair,Fair,Fair,404.93734330140506,1629.0,706.2,,
Venu Dam,21.9775,70.0269,Irrigation,Venu,Jam Jodhpur,Jamnagar,117.0,,Earthen,299.0,19.2,1.8018,3,Vertisols,Cambisols,"Tapi, River",300.9918,0.0001,1266.9,921.0,793.8,786.2,1563.2,1066.22,19.31,,75,73,74.2,Good,Good,Good,339.47543651934524,1563.2,786.2,,
Venu II Dam,21.7855,70.1725,Irrigation,Bhadar,Upleta,Rajkot,49.0,,Earthen / Gravity & Masonry,3336.0,21.9,0.0,3,Vertisols,Cambisols,"Tapi, River",281.4072,0.0001,1525.2,926.7,832.3,1048.3,1666.8,1199.86,22.96,,72,68,70.4,Good,Moderate,Good,373.0168401024275,1666.8,832.3,,
Ver II Dam,22.8333,69.3552,Irrigation,Ver,Mandvi,Surat,8.0,,Gravity & Masonry,1360.0,28.7,0.9009,5,Vertisols,Cambisols,"Indus, River",229.1742,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,,58,53,56.0,Fair,Fair,Fair,404.93734330140506,1629.0,706.2,,
Veradi II Dam,21.9841,69.8147,,,Bhanvad,Jamnagar,55.0,,,,,7.2072,3,Vertisols,Cambisols,"Tapi, River",322.3483,0.0001,1334.3,945.7,739.5,818.6,1515.5,1070.72,20.69,,58,68,62.0,Fair,Moderate,Moderate,337.71469023422713,1515.5,739.5,,
Veri Dam,22.0008,70.8041,,,Gondal,Rajkot,136.0,,,,,5.4054,3,Vertisols,Cambisols,"Tapi, River",225.6024,0.0001,1149.4,926.8,774.7,795.4,1512.3,1031.72,17.93,,58,73,64.0,Fair,Good,Moderate,307.2947884361204,1512.3,774.7,,
Vigodi Dam,23.495,69.0894,Irrigation,Makdawali Nadi,Nakhtarana,Kachchh,88.0,,Earthen,670.73,15.25,0.0,5,Arenosols,Luvisols,"Indus, River",158.9023,0.0,565.3,413.6,594.2,578.2,751.1,580.48,20.54,,55,60,57.0,Fair,Moderate,Fair,119.77477614255851,751.1,413.6,,
Vijarkhi Dam,22.4008,70.1841,Irrigation,FulzarNani,Jamnagar,Jamnagar,41.0,,Earthen,1341.0,11.0,0.0,4,Vertisols,Cambisols,"Mahi, River",297.4918,0.0,1250.7,1014.8,895.2,760.9,1365.9,1057.5,23.02,,67,63,65.4,Moderate,Moderate,Moderate,249.28544883326026,1365.9,760.9,,
Vijaysagar Dam,23.0277,69.4577,Irrigation,Rukmawati,Mandvi,Kachchh,79.0,,Earthen,732.0,26.23,0.0,5,Unknown,Unknown,"Indus, River",221.1809,0.0,1221.7,768.3,809.7,818.6,1024.0,928.46,21.64,,55,68,60.2,Fair,Moderate,Moderate,191.66505419611582,1221.7,768.3,,
Virani Dam,23.1166,69.3769,Irrigation,Mandvi,Mandvi,Kachchh,140.0,,Earthen,932.0,14.87,1.8018,5,Luvisols,Vertisols,"Indus, River",208.4176,0.0,919.1,703.5,767.7,822.4,1027.8,848.1,19.48,,65,73,68.2,Moderate,Good,Moderate,127.83475661962984,1027.8,703.5,,
Virpur Dam,23.6488,72.9563,Irrigation,Virpurvangha,Vijayanagar Mahal,Sabar Kantha,155.0,,Earthen,778.0,15.0,1.8018,3,Vertisols,Cambisols,"Mahi, River",96.1609,0.0002,1130.7,841.4,1084.3,1210.6,1143.2,1082.04,17.03,,75,83,78.2,Good,Excellent,Good,141.90554252741504,1210.6,841.4,,
Vrajmi Dam,21.0611,70.2955,Irrigation,Vrajmi,Maliya Hatina,Junagadh,21.0,,Gravity & Masonry,102.0,14.88,0.9009,3,Vertisols,Luvisols,"Tapi, River",263.7303,0.0001,1623.7,1006.3,1082.4,1088.6,1408.1,1241.82,17.26,,72,73,72.4,Good,Good,Good,263.5536700560248,1623.7,1006.3,,
Wadhwan Jojwa Dam,22.1758,73.4919,Irrigation,Dhadhar,Dabhoi,Vadodara,53.0,,Earthen,239.26,3.05,0.0,3,Unknown,Unknown,"Narmada, River",22.5573,0.0001,1141.4,1105.6,1147.6,1213.6,1678.8,1257.4,15.98,,60,80,68.0,Moderate,Excellent,Moderate,238.7737841556313,1678.8,1105.6,,
Wandh Dam,23.2838,69.6811,Irrigation,Khari,Bhuj,Kachchh,80.0,,Earthen,765.24,11.19,0.9009,5,Luvisols,Cambisols,"Indus, River",221.8014,0.0,642.4,583.9,660.2,602.9,759.2,649.72,19.32,,60,68,63.2,Moderate,Moderate,Moderate,68.32581503355817,759.2,583.9,,
WandhMandvi Dam,22.8463,69.3527,Irrigation,Wand,Mandvi,Kachchh,4.0,,Earthen,825.0,13.0,0.9009,5,Vertisols,Cambisols,"Indus, River",227.9276,0.0,1460.0,706.2,829.1,960.6,1629.0,1116.98,25.23,,58,53,56.0,Fair,Fair,Fair,404.93734330140506,1629.0,706.2,,
WanklaeswarBhey Dam,22.7002,73.9863,Irrigation,Bed,Devgadh Bariya,dahod,223.0,,Earthen / Gravity & Masonry,151.0,25.6,24.3243,3,Vertisols,Regosols,"Unknown, Lake",1.1047,-0.0004,1064.2,1294.4,904.3,1223.5,1502.7,1197.82,15.01,,62,80,69.2,Moderate,Excellent,Moderate,227.45728610005003,1502.7,904.3,,
Watrak Dam,23.3183,73.4058,Irrigation,Watrak,Bayad,Sabar Kantha,124.0,,Earthen,325.0,43.31,43.2432,3,Vertisols,Leptosols,"Mahi, River",41.1578,0.0002,971.6,1224.6,878.3,1595.3,1210.0,1175.96,17.15,,63,80,69.8,Moderate,Excellent,Moderate,278.26924551592117,1595.3,878.3,,
Zakashiya Dam,22.2297,69.46,Irrigation,Jetpur,Khambhaliya,Jamnagar,32.0,,Earthen,2790.0,21.34,0.0,4,Vertisols,Cambisols,"Indus, River",288.7191,0.0,1857.8,914.1,649.0,853.3,1406.7,1136.18,27.22,,67,53,61.4,Moderate,Fair,Moderate,490.0513922028995,1857.8,649.0,,
Zalu Dam,23.3427,69.2669,Irrigation,Local Stream,Nakhtarana,Kachchh,136.0,,Earthen,670.0,13.5,1.8018,5,Luvisols,Regosols,"Indus, River",183.6006,0.0,847.5,458.1,605.8,631.2,795.7,667.66,21.15,,55,60,57.0,Fair,Moderate,Fair,156.3713944428456,847.5,458.1,,
Zanzarwa Dam,24.1747,72.4302,Irrigation,T Of Banas,Palanpur,Banas Kantha,217.0,,Earthen,335.0,23.0,0.9009,3,Vertisols,Cambisols,"Som Kahmla, River",158.5048,-0.0002,920.7,1123.1,1013.3,1005.8,781.8,968.94,17.17,,72,75,73.2,Good,Good,Good,126.92542298531053,1123.1,781.8,,
Zar Dam,21.3558,71.1105,Irrigation,Fulzar,Dhari Mahal,Amreli,192.0,,Earthen,870.0,24.5,1.8018,3,Vertisols,Luvisols,"Tapi, River",178.6218,0.0001,1065.1,1084.2,602.7,639.7,1232.5,924.84,16.24,,75,75,75.0,Good,Good,Good,284.95708097887297,1232.5,602.7,,
Zinzari Dam,22.5177,73.6711,Irrigation,Vehla,Devgadh Bariya,Panch Mahals,158.0,,Earthen,2126.0,11.5,4.5045,3,Vertisols,Luvisols,"Unknown, Lake",39.1614,-0.0004,1039.7,1181.7,1013.4,1174.3,1497.1,1181.24,14.92,,72,75,73.2,Good,Good,Good,192.36667590827676,1497.1,1013.4,,
shell Dedumaal Dam,21.3069,71.2338,Irrigation,Dedumal,Kundla,Amreli,175.0,,,55.5,17.34,5.4054,3,Vertisols,Cambisols,"Tapi, River",165.6025,0.0001,1015.3,1055.1,612.8,663.9,1139.6,897.34,15.69,,68,75,70.8,Moderate,Good,Good,241.32443514903332,1139.6,612.8,,
